row,id,time,value
162,sbb_nettotonnenkm,2001-06-11,29049791.23
163,sbb_nettotonnenkm,2001-06-12,42718248.767
164,sbb_nettotonnenkm,2001-06-13,43396233.286
165,sbb_nettotonnenkm,2001-06-14,39390537.213
166,sbb_nettotonnenkm,2001-06-15,38242161.659
167,sbb_nettotonnenkm,2001-06-16,20962117.052
168,sbb_nettotonnenkm,2001-06-17,8231939.812
169,sbb_nettotonnenkm,2001-06-18,28487173.074
170,sbb_nettotonnenkm,2001-06-19,44198341.089
171,sbb_nettotonnenkm,2001-06-20,45079084.292
172,sbb_nettotonnenkm,2001-06-21,43914242.096
173,sbb_nettotonnenkm,2001-06-22,42556870.48
174,sbb_nettotonnenkm,2001-06-23,21793426.609
175,sbb_nettotonnenkm,2001-06-24,6959225.905
176,sbb_nettotonnenkm,2001-06-25,28354861.511
177,sbb_nettotonnenkm,2001-06-26,42161667.294
178,sbb_nettotonnenkm,2001-06-27,42849618.444
179,sbb_nettotonnenkm,2001-06-28,40317936.24
180,sbb_nettotonnenkm,2001-06-29,37633846.382
181,sbb_nettotonnenkm,2001-06-30,21760007.816
182,sbb_nettotonnenkm,2001-07-01,8110613.391
183,sbb_nettotonnenkm,2001-07-02,29657877.663
184,sbb_nettotonnenkm,2001-07-03,43217859.711
185,sbb_nettotonnenkm,2001-07-04,45083786.74
186,sbb_nettotonnenkm,2001-07-05,44545828.8
187,sbb_nettotonnenkm,2001-07-06,38352519.496
188,sbb_nettotonnenkm,2001-07-07,15944637.609
189,sbb_nettotonnenkm,2001-07-08,6407158.651
190,sbb_nettotonnenkm,2001-07-09,29052180.859
191,sbb_nettotonnenkm,2001-07-10,43691610.301
192,sbb_nettotonnenkm,2001-07-11,43210943.268
193,sbb_nettotonnenkm,2001-07-12,44165889.438
194,sbb_nettotonnenkm,2001-07-13,40739301.865
195,sbb_nettotonnenkm,2001-07-14,21262948.96
196,sbb_nettotonnenkm,2001-07-15,8179476.532
197,sbb_nettotonnenkm,2001-07-16,28333462.171
198,sbb_nettotonnenkm,2001-07-17,42199517.225
199,sbb_nettotonnenkm,2001-07-18,41699277.995
200,sbb_nettotonnenkm,2001-07-19,41108650.868
201,sbb_nettotonnenkm,2001-07-20,38206602.274
202,sbb_nettotonnenkm,2001-07-21,21453728.077
203,sbb_nettotonnenkm,2001-07-22,6709382.024
204,sbb_nettotonnenkm,2001-07-23,24184066.571
205,sbb_nettotonnenkm,2001-07-24,36265477.789
206,sbb_nettotonnenkm,2001-07-25,37520047.379
207,sbb_nettotonnenkm,2001-07-26,36327981.31
208,sbb_nettotonnenkm,2001-07-27,35327306.236
209,sbb_nettotonnenkm,2001-07-28,17840968.742
210,sbb_nettotonnenkm,2001-07-29,6086741.019
211,sbb_nettotonnenkm,2001-07-30,27102499.154
212,sbb_nettotonnenkm,2001-07-31,32743255.902
213,sbb_nettotonnenkm,2001-08-01,17842888.839
214,sbb_nettotonnenkm,2001-08-02,32242190.612
215,sbb_nettotonnenkm,2001-08-03,31734130.793
216,sbb_nettotonnenkm,2001-08-04,15401859.906
217,sbb_nettotonnenkm,2001-08-05,5165737.874
218,sbb_nettotonnenkm,2001-08-06,22195112.461
219,sbb_nettotonnenkm,2001-08-07,29075786.765
220,sbb_nettotonnenkm,2001-08-08,29653403.723
221,sbb_nettotonnenkm,2001-08-09,30366062.201
222,sbb_nettotonnenkm,2001-08-10,24454236.051
223,sbb_nettotonnenkm,2001-08-11,12774151.243
224,sbb_nettotonnenkm,2001-08-12,4069975.813
225,sbb_nettotonnenkm,2001-08-13,19083361.256
226,sbb_nettotonnenkm,2001-08-14,21964102.713
227,sbb_nettotonnenkm,2001-08-15,19881024.984
228,sbb_nettotonnenkm,2001-08-16,21923625.493
229,sbb_nettotonnenkm,2001-08-17,25224543.872
230,sbb_nettotonnenkm,2001-08-18,13204167.597
231,sbb_nettotonnenkm,2001-08-19,4944220.367
232,sbb_nettotonnenkm,2001-08-20,23261993.004
233,sbb_nettotonnenkm,2001-08-21,32771536.341
234,sbb_nettotonnenkm,2001-08-22,34310010.73
235,sbb_nettotonnenkm,2001-08-23,35385001.244
236,sbb_nettotonnenkm,2001-08-24,33412519.77
237,sbb_nettotonnenkm,2001-08-25,18281264.974
238,sbb_nettotonnenkm,2001-08-26,5570907.759
239,sbb_nettotonnenkm,2001-08-27,24891439.539
240,sbb_nettotonnenkm,2001-08-28,39320504.181
241,sbb_nettotonnenkm,2001-08-29,41301112.075
242,sbb_nettotonnenkm,2001-08-30,37406052.3
243,sbb_nettotonnenkm,2001-08-31,36964777.81
244,sbb_nettotonnenkm,2001-09-01,19610699.516
245,sbb_nettotonnenkm,2001-09-02,6911427.393
246,sbb_nettotonnenkm,2001-09-03,26407201.902
247,sbb_nettotonnenkm,2001-09-04,37780347.976
248,sbb_nettotonnenkm,2001-09-05,41194119.38
249,sbb_nettotonnenkm,2001-09-06,41287506.979
250,sbb_nettotonnenkm,2001-09-07,38546742.159
251,sbb_nettotonnenkm,2001-09-08,22448104.658
252,sbb_nettotonnenkm,2001-09-09,7480790.923
253,sbb_nettotonnenkm,2001-09-10,25233628.865
254,sbb_nettotonnenkm,2001-09-11,39852960.292
255,sbb_nettotonnenkm,2001-09-12,43223437.564
256,sbb_nettotonnenkm,2001-09-13,42474955.321
257,sbb_nettotonnenkm,2001-09-14,35833578.362
258,sbb_nettotonnenkm,2001-09-15,23318763.402
259,sbb_nettotonnenkm,2001-09-16,8449009.456
260,sbb_nettotonnenkm,2001-09-17,24736263.899
261,sbb_nettotonnenkm,2001-09-18,39392051.652
262,sbb_nettotonnenkm,2001-09-19,42472731.564
263,sbb_nettotonnenkm,2001-09-20,43006482.904
264,sbb_nettotonnenkm,2001-09-21,39100931.131
265,sbb_nettotonnenkm,2001-09-22,21324562.98
266,sbb_nettotonnenkm,2001-09-23,6078715.333
267,sbb_nettotonnenkm,2001-09-24,27220527.572
268,sbb_nettotonnenkm,2001-09-25,40511701.468
269,sbb_nettotonnenkm,2001-09-26,44279345.532
270,sbb_nettotonnenkm,2001-09-27,41925822.98
271,sbb_nettotonnenkm,2001-09-28,39398255.139
272,sbb_nettotonnenkm,2001-09-29,22170430.306
273,sbb_nettotonnenkm,2001-09-30,8158001.019
274,sbb_nettotonnenkm,2001-10-01,27226609.425
275,sbb_nettotonnenkm,2001-10-02,39685342.567
276,sbb_nettotonnenkm,2001-10-03,40838101.549
277,sbb_nettotonnenkm,2001-10-04,37605541.454
278,sbb_nettotonnenkm,2001-10-05,39471608.258
279,sbb_nettotonnenkm,2001-10-06,23334594.72
280,sbb_nettotonnenkm,2001-10-07,7553976.094
281,sbb_nettotonnenkm,2001-10-08,26956014.142
282,sbb_nettotonnenkm,2001-10-09,40957982.055
283,sbb_nettotonnenkm,2001-10-10,42954708.529
284,sbb_nettotonnenkm,2001-10-11,42781826.194
285,sbb_nettotonnenkm,2001-10-12,39477845.043
286,sbb_nettotonnenkm,2001-10-13,22226820.29
287,sbb_nettotonnenkm,2001-10-14,7276944.257
288,sbb_nettotonnenkm,2001-10-15,29084224.012
289,sbb_nettotonnenkm,2001-10-16,39834037.966
290,sbb_nettotonnenkm,2001-10-17,40151849.737
291,sbb_nettotonnenkm,2001-10-18,41168466.72
292,sbb_nettotonnenkm,2001-10-19,40226049.887
293,sbb_nettotonnenkm,2001-10-20,22740872.828
294,sbb_nettotonnenkm,2001-10-21,7366822.014
295,sbb_nettotonnenkm,2001-10-22,28522850.565
296,sbb_nettotonnenkm,2001-10-23,40866983.291
297,sbb_nettotonnenkm,2001-10-24,43388158.584
298,sbb_nettotonnenkm,2001-10-25,40390033.535
299,sbb_nettotonnenkm,2001-10-26,39278461.986
