keyword,time,value
Zara,2006-05-24,-20.421892821641904
Zara,2006-05-25,7.043690810715809
Zara,2006-05-26,26.36394795280417
Zara,2006-05-27,20.1189972039804
Zara,2006-05-28,5.728719967506525
Zara,2006-05-29,18.9557358117012
Zara,2006-05-30,31.889737514591957
Zara,2006-05-31,24.652286830886954
Zara,2006-06-01,19.32664878160167
Zara,2006-06-02,1.7143931938350665
Zara,2006-06-03,8.912605525431296
Zara,2006-06-04,36.284150094470164
Zara,2006-06-05,-2.9455877264075188
Zara,2006-06-06,13.013823577311948
Zara,2006-06-07,-20.304408543981225
Zara,2006-06-08,-2.808147846335725
Zara,2006-06-09,-2.2170739198465643
Zara,2006-06-10,-6.457135366335468
Zara,2006-06-11,28.568203362923317
Zara,2006-06-12,3.970180875161134
