series,period,id,time,value
transact,2014-10-31,x,2014-10-15,98144.3716534
transact,2014-10-31,x,2014-10-16,97960.7890343
transact,2014-10-31,x,2014-10-17,115367.2212883
transact,2014-10-31,x,2014-10-18,NA
transact,2014-10-31,x,2014-10-19,NA
transact,2014-10-31,x,2014-10-20,115432.5249853
transact,2014-10-31,x,2014-10-21,101959.9095689
transact,2014-10-31,x,2014-10-22,106430.914798
transact,2014-10-31,x,2014-10-23,106612.0743298
transact,2014-10-31,x,2014-10-24,114321.296898
transact,2014-10-31,x,2014-10-25,NA
transact,2014-10-31,x,2014-10-26,NA
transact,2014-10-31,x,2014-10-27,99857.2229545
transact,2014-10-31,x,2014-10-28,102670.9100898
transact,2014-10-31,x,2014-10-29,104559.5392583
transact,2014-10-31,x,2014-10-30,107653.6646401
transact,2014-10-31,x,2014-10-31,145845.9562348
transact,2014-09-30,fct,2014-09-01,114396.52420265519
transact,2014-09-30,fct,2014-09-02,103403.0114886872
transact,2014-09-30,fct,2014-09-03,99853.66321353105
transact,2014-09-30,fct,2014-09-04,101155.07119170904
transact,2014-09-30,fct,2014-09-05,101344.33565606261
transact,2014-09-30,fct,2014-09-06,NA
transact,2014-09-30,fct,2014-09-07,NA
transact,2014-09-30,fct,2014-09-08,97467.2922809232
transact,2014-09-30,fct,2014-09-09,89486.05601604532
transact,2014-09-30,fct,2014-09-10,90699.08247619022
transact,2014-09-30,fct,2014-09-11,97858.90276177779
transact,2014-09-30,fct,2014-09-12,104169.70166203906
transact,2014-09-30,fct,2014-09-13,NA
transact,2014-09-30,fct,2014-09-14,NA
transact,2014-09-30,fct,2014-09-15,112364.01243312958
transact,2014-09-30,fct,2014-09-16,104834.66530466963
transact,2014-09-30,fct,2014-09-17,104756.19267714281
transact,2014-09-30,fct,2014-09-18,109372.95695572888
transact,2014-09-30,fct,2014-09-19,112600.59730286301
transact,2014-09-30,fct,2014-09-20,NA
transact,2014-09-30,fct,2014-09-21,NA
transact,2014-09-30,fct,2014-09-22,115458.06813887402
transact,2014-09-30,fct,2014-09-23,109066.95210906155
transact,2014-09-30,fct,2014-09-24,111655.88101142073
transact,2014-09-30,fct,2014-09-25,120023.95246358005
transact,2014-09-30,fct,2014-09-26,127400.77094307335
transact,2014-09-30,fct,2014-09-27,NA
transact,2014-09-30,fct,2014-09-28,NA
transact,2014-09-30,fct,2014-09-29,136690.67911716478
transact,2014-09-30,fct,2014-09-30,128233.91874287481
