series,period,id,time,value
transact,2014-05-31,x,2014-05-23,129112.826351
transact,2014-05-31,x,2014-05-24,NA
transact,2014-05-31,x,2014-05-25,NA
transact,2014-05-31,x,2014-05-26,78478.4058686
transact,2014-05-31,x,2014-05-27,131944.4498192
transact,2014-05-31,x,2014-05-28,132293.6085758
transact,2014-05-31,x,2014-05-29,NA
transact,2014-05-31,x,2014-05-30,183176.96653910002
transact,2014-04-30,fct,2014-04-01,128080.65253314027
transact,2014-04-30,fct,2014-04-02,145278.601467803
transact,2014-04-30,fct,2014-04-03,132283.46128663115
transact,2014-04-30,fct,2014-04-04,138154.36866144417
transact,2014-04-30,fct,2014-04-05,NA
transact,2014-04-30,fct,2014-04-06,NA
transact,2014-04-30,fct,2014-04-07,140866.6458599458
transact,2014-04-30,fct,2014-04-08,128480.11406403649
transact,2014-04-30,fct,2014-04-09,145527.36017691364
transact,2014-04-30,fct,2014-04-10,132359.03176411925
transact,2014-04-30,fct,2014-04-11,138037.5543545492
transact,2014-04-30,fct,2014-04-12,NA
transact,2014-04-30,fct,2014-04-13,NA
transact,2014-04-30,fct,2014-04-14,140100.9482144051
transact,2014-04-30,fct,2014-04-15,127491.20442121013
transact,2014-04-30,fct,2014-04-16,144320.94524729846
transact,2014-04-30,fct,2014-04-17,130946.33955342247
transact,2014-04-30,fct,2014-04-18,NA
transact,2014-04-30,fct,2014-04-19,NA
transact,2014-04-30,fct,2014-04-20,NA
transact,2014-04-30,fct,2014-04-21,NA
transact,2014-04-30,fct,2014-04-22,125382.05323144604
transact,2014-04-30,fct,2014-04-23,142163.43832235687
transact,2014-04-30,fct,2014-04-24,128774.6042615808
transact,2014-04-30,fct,2014-04-25,134282.81259049725
transact,2014-04-30,fct,2014-04-26,NA
transact,2014-04-30,fct,2014-04-27,NA
transact,2014-04-30,fct,2014-04-28,136161.31416682238
transact,2014-04-30,fct,2014-04-29,123598.37670474879
transact,2014-04-30,fct,2014-04-30,140524.6330846636
transact,2014-04-30,x,2014-04-01,151926.16478770002
