series,period,id,time,value
transact,2014-10-31,x,2014-10-15,98144.3716534
transact,2014-10-31,x,2014-10-16,97960.7890343
transact,2014-10-31,x,2014-10-17,115367.2212883
transact,2014-10-31,x,2014-10-18,NA
transact,2014-10-31,x,2014-10-19,NA
transact,2014-10-31,x,2014-10-20,115432.5249853
transact,2014-10-31,x,2014-10-21,101959.9095689
transact,2014-10-31,x,2014-10-22,106430.914798
transact,2014-10-31,x,2014-10-23,106612.0743298
transact,2014-10-31,x,2014-10-24,114321.296898
transact,2014-10-31,x,2014-10-25,NA
transact,2014-10-31,x,2014-10-26,NA
transact,2014-10-31,x,2014-10-27,99857.2229545
transact,2014-10-31,x,2014-10-28,102670.9100898
transact,2014-10-31,x,2014-10-29,104559.5392583
transact,2014-10-31,x,2014-10-30,107653.6646401
transact,2014-10-31,x,2014-10-31,145845.9562348
transact,2014-09-30,fct,2014-09-01,116529.20751535195
transact,2014-09-30,fct,2014-09-02,99210.92399993996
transact,2014-09-30,fct,2014-09-03,104747.35532078853
transact,2014-09-30,fct,2014-09-04,92180.27161161051
transact,2014-09-30,fct,2014-09-05,104972.62977109685
transact,2014-09-30,fct,2014-09-06,NA
transact,2014-09-30,fct,2014-09-07,NA
transact,2014-09-30,fct,2014-09-08,100058.1241348866
transact,2014-09-30,fct,2014-09-09,94673.4250057102
transact,2014-09-30,fct,2014-09-10,102327.466701387
transact,2014-09-30,fct,2014-09-11,91711.6885780736
transact,2014-09-30,fct,2014-09-12,100540.3007309662
transact,2014-09-30,fct,2014-09-13,NA
transact,2014-09-30,fct,2014-09-14,NA
transact,2014-09-30,fct,2014-09-15,114482.04561527402
transact,2014-09-30,fct,2014-09-16,100203.33136025883
transact,2014-09-30,fct,2014-09-17,96119.57959712193
transact,2014-09-30,fct,2014-09-18,102048.07866904014
transact,2014-09-30,fct,2014-09-19,101834.7896331595
transact,2014-09-30,fct,2014-09-20,NA
transact,2014-09-30,fct,2014-09-21,NA
transact,2014-09-30,fct,2014-09-22,109218.0303624608
transact,2014-09-30,fct,2014-09-23,97917.03429914938
transact,2014-09-30,fct,2014-09-24,100928.92024976232
transact,2014-09-30,fct,2014-09-25,108352.68735904519
transact,2014-09-30,fct,2014-09-26,99924.0959853889
transact,2014-09-30,fct,2014-09-27,NA
transact,2014-09-30,fct,2014-09-28,NA
transact,2014-09-30,fct,2014-09-29,118035.66617614217
transact,2014-09-30,fct,2014-09-30,132759.15519091923
